ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.0,0.3,True,-0.49898249014071394,4.244752167973404e-10,0.01636779569275517,0.7836678802680094,0.5166675835431487,0.36292330948654217,0.18637369499205034,0.0,-0.12852384245732804,3.1415709139717563,0.0,3.14186212590063
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,0.0,0.3,True,-0.4533996667660171,2.8074031614889846e-10,0.007570835448641005,0.6728346382402141,0.5041214501454236,0.0,0.1549010245593775,0.0,-0.1515371983458841,3.141577049569134,-0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.0,0.3,True,-0.510675476851094,1.1955190521068246e-09,0.003826050392983033,0.8254230943934777,0.5168273384544293,0.0,-0.42636599022112337,0.1975995601383106,0.0,1.9348287873436392,3.1415896866681186,0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,0.0,0.3,True,-0.4832396618443521,6.1195333752389056e-09,0.04336995061051858,0.7486528180071143,0.5047230466283146,-0.2909608437274147,0.1606897532352898,0.0,0.0011048525442451107,5.3811619223372515,3.1411681483946454,0.0,4.8079548715990335
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA1,phiB1,phiA2,phiB2,phiB3
q0_2,0.0,0.3,True,-0.46393050634918187,5.333636678701051e-10,0.07666110525421983,0.694789333228895,0.5063782226628581,0.0,0.15393701395745596,0.0,0.07109024940756906,5.21140419372352,3.1380750676324483,0.0,0.0,3.253651266140909
