ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.07500000000000001,-0.3,False,-0.45687104751385627,4.035007821420992e-09,0.03362104004963439,0.671634022908265,0.5067306921148181,0.13491877073923764,0.15209278427412393,0.2296834034208268,-0.09918832617315819,3.141608376886754,0.003526901443060815,3.1415219849915745
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.07500000000000001,-0.3,False,-0.45900365632004503,1.0423586795780752e-05,0.059336440201551925,0.6791121120421393,0.5073723094540844,0.07908032124142152,-0.16204534183765956,0.15578142792090355,0.05000499345499969,2.047548997219768,3.142356889074408,4.141092857632096,3.938448985546877
