ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,-0.15,-0.22499999999999998,True,-0.49670690306720056,1.7267163576205264e-09,0.009323314492418851,0.7806749130046639,0.5230039042686904,0.27228291769676155,0.1948988267350236,0.3480519999151145,-0.1626108171361168,3.1417463009439315,0.00010135663482185221,3.1410769199054487
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.15,-0.22499999999999998,True,-0.4804494400771162,1.4808834256294332e-09,0.0016448707588266147,0.7561697352716654,0.5153286663835619,0.19711879261080742,0.18559192859601123,0.20387165418675557,-0.2782165182878992,3.141656591502107,3.2174116286856793,3.1408510398211127
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.15,-0.22499999999999998,True,-0.4776822650224693,3.781864599441557e-09,0.018485212741015312,0.7257428308143606,0.5131685672006722,0.07891753719618687,-0.234328595992265,0.16821393698870088,0.269689679722559,1.9965966744230799,3.1425646819845805,4.183180830666988,5.2670659323974665
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,-0.15,-0.22499999999999998,False,-0.4756208765568346,1.1463280694417654e-06,0.011962992442796125,0.7298157995301509,0.513210472729248,-0.15441317227453177,0.17364230138724396,0.22007050452594631,0.0010315598718650398,0.6770183912424761,3.142096477316715,3.9574418164698577,4.770358623670079
