ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.22500000000000003,0.22500000000000003,True,-0.4505620942587615,1.6566021548637588e-09,0.10155457402059158,0.6562920974077863,0.5067841919609422,0.20089599519817494,0.14925862503376233,0.24324143787413197,-0.06683622520244349,3.141533255863332,1.5442102163413287e-05,3.142073254178196
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,0.22500000000000003,0.22500000000000003,True,-0.45804393517016534,4.03830054782703e-09,0.0022677852359432563,0.7012595535700384,0.517585360976765,0.2521421183339041,0.19333592061586402,0.1896849530460557,-0.26162001836418836,3.1417382935377316,3.154403599387627,3.1430175802333715
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.22500000000000003,0.22500000000000003,True,-0.462201591673716,3.363605583356777e-09,0.003052052906512847,0.7034533613340582,0.5174590287572562,0.14787743344518678,-0.3069451690007491,0.1828740076173864,0.28858349689804996,1.9063538325519436,3.1366173059684663,4.185311438035074,5.2507138119811625
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,0.22500000000000003,0.22500000000000003,False,-0.45213484117454844,3.0640235748780335e-06,0.05426756788943264,0.6732806781752108,0.5093767663812321,-0.17547012583155983,0.16208911209897395,0.2160965050832538,0.002040016749432827,5.501187859317422,3.140829603310927,2.2420231731036036,4.776496836140031
