ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.22500000000000003,-0.07500000000000001,True,-0.4453297141619892,1.6200907435749567e-09,0.10113872760573213,0.6430796787796608,0.5004220751392944,0.10663327634239629,0.13812604017140115,0.1934681772202866,-0.06688196438521883,3.1417514815572574,6.85844185270558e-05,3.145060238875252
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,0.22500000000000003,-0.07500000000000001,True,-0.4888797766530937,1.8412933717470481e-09,0.0015826892641463614,0.797746363840909,0.521335223702923,0.34655385547635553,0.22157150312465923,0.21430991649694534,-0.3673990202940587,3.1415942986103853,3.1534026362981926,3.142602543843965
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,0.22500000000000003,-0.07500000000000001,False,-0.46868939355567185,3.8090907771093525e-08,0.006174205256484403,0.7229214591944717,0.5159358467958141,-0.09551107746145526,0.18346502273176285,0.0010123001034151868,0.23972415022915602,0.35564379248301226,3.1431468625751977,2.0349364438768704,3.187005868363566
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.22500000000000003,-0.07500000000000001,False,-0.44755359567003183,1.0817573180681596e-06,0.011516277961870026,0.6564180493104425,0.5047483617492432,0.10633423474211039,-0.14644101767655252,0.1535619806064441,0.2013926721282643,1.8532727583402628,3.135587447623979,4.189381454321462,5.122734451496461
