ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.0,-0.22499999999999998,True,-0.4673827478104043,5.397120101695362e-10,0.018678728110090744,0.6995798494499726,0.5139433345300328,0.1889246012877762,0.16749268084326946,0.0,-0.12004620510158144,3.1416341426183183,0.0,3.1411444249395863
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,0.0,-0.22499999999999998,True,-0.48241422729746186,7.456287980122297e-10,0.0031819849746819286,0.7705339408513847,0.5204063382946554,0.0,0.20279118007499947,0.0,-0.3197742034565705,3.1416646834092083,-0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.0,-0.22499999999999998,True,-0.46072261979824386,6.197924698308452e-10,0.043349468751397016,0.6834332290855658,0.5087543482099939,0.0,-0.17972165755528996,0.15759922254979652,0.0,1.997784481079779,3.141678830858802,0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,0.0,-0.22499999999999998,False,-0.4642169810752512,1.321869404408098e-08,0.0038110560221553996,0.7096008629633856,0.5139902336097943,-0.047200953179675376,0.17837648745780083,0.0,0.0010048597621916122,0.19206359440533216,3.1421082639160445,0.0,4.757231739268516
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA1,phiB1,phiA2,phiB2,phiB3
q0_2,0.0,-0.22499999999999998,True,-0.4670122724252097,6.028955880243076e-09,0.040930537649728205,0.7081432728222524,0.5115975743202603,0.0,0.16802147539858153,0.0,0.0010862160974539625,0.7830812568874905,3.142011561123894,0.0,0.0,4.783062224137537
