ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.3,0.3,True,-0.44479002932969375,2.2851051785012602e-09,0.10605942608879135,0.6426914113518252,0.5035518795775082,0.18756255973411565,0.14271734687617238,0.2281321729538061,-0.055478240721171086,3.1415867829732407,0.00016191865197785952,3.138745220904855
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,0.3,0.3,True,-0.45751990950059285,1.863301073421811e-09,0.0021280385578721452,0.7021579321332312,0.517988373763602,0.270900131724946,0.19874263659925917,0.190093676937324,-0.27373587860184656,3.1416554412091426,3.154407806859933,3.1440107054448356
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.3,0.3,False,-0.4501727216347954,3.8242559701378196e-08,0.006678534417747965,0.6680838178376597,0.5111383290274372,0.0015738123756696698,-0.2736372571047182,0.16303871720403706,0.2634947855439364,1.9268120150769357,3.1429825399292852,2.5708818370225113,5.234089571104265
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,0.3,0.3,False,-0.481196913969546,1.0865946544371994e-07,0.05694839840019574,0.7417810368072739,0.501587555427027,-0.2959629160674819,0.15308545835624976,0.0010027613188955675,0.06821019728764716,5.320365665021049,3.1386689144412228,0.47431685965559645,3.2657513490925654
