ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,-0.07500000000000001,-0.3,True,-0.47805974382559513,2.1043492995298796e-09,0.012483814163812768,0.7290166441394005,0.5176120924179357,0.21414499638281792,0.1784496256054062,0.3020990258618205,-0.14109885696203214,3.1415860926299275,-0.001086231045509526,3.1422270229952507
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.07500000000000001,-0.3,True,-0.4656330363374498,2.9974061254173584e-09,0.05556907018493822,0.6943045845247011,0.5090802354479025,0.0702293961414542,-0.18330357964268976,0.15859999474219932,0.23714926333732378,2.0226021695082035,3.1421801059851213,4.2100325199427715,5.265327640066696
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,-0.07500000000000001,-0.3,False,-0.4635193961718839,1.7323725130655076e-05,0.06546605029873617,0.6930780651780135,0.5056295433198771,-0.1326610784567359,0.15513596133843663,0.19168280561186118,0.0010040744600337548,1.2851552612194739,3.1410848451157003,4.63357176248911,1.7258181113719935
