ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.22500000000000003,-0.22499999999999998,True,-0.4446455111030666,3.146424878778625e-09,0.09528283549263651,0.6420775566559904,0.4984240628529861,0.08612199142815156,0.13519743982712473,0.18304389091451576,-0.06919707758672115,3.1416480687990127,-0.0005518901312092319,3.1396499896518972
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,0.22500000000000003,-0.22499999999999998,False,-0.46175423097630036,1.0393613389534718e-05,0.03448928475984634,0.6954056628608208,0.5107606137553039,-0.13213796496858599,0.1673524646710472,0.011150942765272481,0.001006269420977951,0.7605307290245329,3.141025498174415,2.4454450476940868,1.646003095009277
