ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.0,0.14999999999999997,True,-0.4844691817908666,8.075526583809392e-10,0.016426338789640074,0.7470122288539094,0.5197129310023058,0.30890433073781404,0.1838243805565504,0.0,-0.1280521409041387,3.1417129894012286,0.0,3.141718406949507
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,0.0,0.14999999999999997,True,-0.457728945440544,4.369212882536159e-10,0.005802707124536114,0.6875138929431713,0.5088401954919511,0.0,0.16540516583892512,0.0,-0.18958108167621557,3.141567642698668,-0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.0,0.14999999999999997,True,-0.4873800560353735,7.872097417446578e-10,0.0046364199475263605,0.7641030693181108,0.5195854979184656,0.0,-0.3575934325628086,0.18939723545307677,0.0,1.9402187057135507,3.141601236666046,0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,0.0,0.14999999999999997,True,-0.4715695972731785,1.6291475400290774e-09,0.05877887347827745,0.7164083179090182,0.5073012331714095,-0.23443787277736955,0.15844576238835378,0.0,0.08819508630161318,5.313695021149664,3.1397692723597026,0.0,3.2434390906287867
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA1,phiB1,phiA2,phiB2,phiB3
q0_2,0.0,0.14999999999999997,True,-0.46492210669913486,6.119341946539066e-10,0.06322290465808492,0.6985399333164138,0.5080803575897018,0.0,0.158195317914386,0.0,0.09373752487947254,5.298853587014261,3.1396757440994603,0.0,0.0,3.240655410350891
