ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.3,-0.15,True,-0.4401923319932622,3.431094870419829e-09,0.09498473831719101,0.6324618905168246,0.4954130129925799,0.07017877719372888,0.12959427833488232,0.16765842597873307,-0.05899039906297918,3.141556607191053,0.0009068366070449654,3.14573031451553
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.3,-0.15,False,-0.46003820898051734,0.00017305853211663816,0.09862100761028998,0.6828007098891651,0.5068700713663247,0.0010008867032141877,-0.1689954835882479,0.15515457691757711,0.05000001155784539,2.2611417055193,3.142198957745473,2.775847169157077,4.073428715868252
