ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,-0.07500000000000001,0.0,True,-0.491262518884657,6.537743843687649e-10,0.011640924791512148,0.7661652279976533,0.5226665773167899,0.0,0.19134023624130606,0.34763703801742396,0.0,3.1414683725181556,0.00025009530492888237,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.07500000000000001,0.0,True,-0.4654556052057031,1.7812778462735811e-09,0.0022859242080377922,0.710110037052167,0.5112937314819364,0.16303481689259736,0.17141838412569038,0.1892812102000103,0.0,3.141751771683111,3.212729273716628,3.140151598002295
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.07500000000000001,0.0,True,-0.48320539909775806,1.6963205846079844e-09,0.0037880875480529263,0.7471118848401659,0.5182650396915811,0.11073954332539476,0.0,0.18145451539645735,0.3021947680418209,1.95553484785885,3.141275610555867,4.129057962364472,5.27185623398852
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,-0.07500000000000001,0.0,True,-0.47490255373131185,5.220115006221344e-10,0.035081313579897445,0.7266838712956535,0.5116902108986653,0.0,0.1688605482555213,0.2347824254025262,0.0,0.8177891822663947,3.1416706847413747,4.078149734220938,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA1,phiB1,phiA2,phiB2,phiB3
q0_2,-0.07500000000000001,0.0,True,-0.464494896542766,8.231741683146391e-09,0.04814803585924812,0.6981993850240339,0.5082410878483079,0.11337310669785647,0.158412783568457,0.0010104500459761079,0.0,0.92275918306987,3.139994886489145,3.5602169537296815,2.5742542450178028,0.0
