ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.14999999999999997,-0.15,True,-0.4508922199420109,2.637369959540603e-09,0.0663189789462848,0.6561139982232777,0.504042244775299,0.12580300351695797,0.14532195226741873,0.21276148324481733,-0.08022027269779737,3.1414230648346306,0.001107653120942696,3.1463405104943982
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.14999999999999997,-0.15,True,-0.45061119357789736,1.3561610079070496e-09,0.02136560831165527,0.6613166066289232,0.5054043131941338,0.09394003960740084,-0.1499641293360961,0.1529728874159563,0.20596629909740619,1.878238624208915,3.140511808021109,4.128611112408239,5.156883272978887
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,0.14999999999999997,-0.15,False,-0.46417706707343,2.0797021996472523e-08,0.007900390795298903,0.7074212620319486,0.5135472700639706,-0.0914532619945829,0.17611418470508763,0.0010435192392832526,0.0010580142742122045,5.908550780693143,3.1419271747711557,4.232841409384246,4.760550234057764
