ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,-0.22499999999999998,0.22500000000000003,True,-0.5588782191924154,7.418374091041705e-10,0.00830019085060143,0.9348017082376373,0.5205119204186701,0.40253677425457635,0.21229650340648615,0.4163886077627041,-0.18045771027597937,3.1415793904822333,0.00012195903825460279,3.141741357787156
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.22499999999999998,0.22500000000000003,True,-0.4631766714007169,2.2673737819046372e-09,0.0029959217938677336,0.6944600517764016,0.5005533970856939,0.09857189260376639,0.1461250077681251,0.17649551830913046,-0.14720630244757202,3.1418082101085276,3.226876330144866,3.1393677422975665
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.22499999999999998,0.22500000000000003,True,-0.5457442945567655,2.306678180934023e-09,0.0018649184629624016,0.9038836355240334,0.514538551424307,0.13650718832485625,-0.4370694503486005,0.1982213320680513,0.36581214367184356,1.9416460772865067,3.13923079671379,4.101900296870374,5.301846454158265
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,-0.22499999999999998,0.22500000000000003,True,-0.5095018637848255,4.980570392055024e-09,0.017388720485490446,0.8118798809540002,0.49886790173255274,-0.3272823592305706,0.15581912476380477,0.2887992734494262,0.07695929832930754,5.353791655606893,3.139690877959667,2.0265620138075175,3.2604899277197794
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA1,phiB1,phiA2,phiB2,phiB3
q0_2,-0.22499999999999998,0.22500000000000003,False,-0.4905893374851895,1.3077519035145245e-08,0.034586496842078096,0.761908685581771,0.5068426872105035,0.0010084374340478264,0.16051658191958257,0.2582078662469689,0.08616420298041719,0.9697349329798106,3.138905643209914,2.0493099757746074,4.234236935612322,3.239114648763473
