ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.3,-0.07500000000000001,True,-0.44034795026221557,1.7629814999133066e-09,0.08985440003614246,0.6324945867726668,0.4961817888235684,0.0785493594282137,0.13069971509348843,0.17163133486323684,-0.057950171675060266,3.141606994274279,0.00043692181221096797,3.1334601877622204
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,0.3,-0.07500000000000001,False,-0.4649582906676675,7.438047501854443e-08,0.027462551661245466,0.7040774567248423,0.5119418987060212,-0.15364619154088718,0.16950218095435166,0.0010044384109594573,0.002522715553848226,0.7040683911867878,3.142101007888059,2.385390981565084,4.766041832273663
