ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.22500000000000003,-0.3,True,-0.444504391597188,2.3274545422543888e-09,0.09119783978024609,0.6421229298091359,0.4976753211825055,0.07880790692257364,0.13413836773552504,0.17961427891243328,-0.0709084734978694,3.1415492593603034,-0.0007256841610719086,3.1454049746180344
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.22500000000000003,-0.3,False,-0.456039595163431,0.0003050299117233688,0.07012731246986968,0.674631703012901,0.5057634871631216,0.09415773612603873,-0.14766712359661255,0.15559482658678053,0.10000050765605056,2.133373386127401,3.1427571963278904,4.198357123894838,4.299685994465378
