ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.22500000000000003,-0.15,True,-0.4449081727142448,2.223920403282771e-09,0.09859618775535614,0.6423810731683325,0.4993375670367948,0.09520346830719045,0.13651204626514446,0.18753470094606767,-0.06786977904959197,3.1413991344745984,0.0009959519112256285,3.146276252719489
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,0.22500000000000003,-0.15,True,-0.4573504029027718,2.963498548648629e-09,0.004042442397989448,0.703006963882158,0.5174304807532466,-6.686845071222627e-05,0.1891310047544783,0.19591716150956845,0.2669179032337404,5.893088225004619e-05,3.1437281762990343,3.1410043378633743,3.188368516123226
