ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.22500000000000003,0.0,True,-0.4459704633838146,3.0872588328891817e-10,0.10277778121226301,0.6443759696546888,0.5017306329922301,0.0,0.14013396157689084,0.2012657483349241,0.0,3.141614754672744,-0.00027908197696148587,-0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.22500000000000003,0.0,True,-0.449477703135735,1.3253474302916226e-09,0.0077104511733512016,0.6624278068239218,0.5074460656217404,0.11441934592953502,0.0,0.15889776715701906,0.21560986424306594,1.8431343256669481,3.1387115948832998,4.128589686170447,5.153306958733286
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,0.22500000000000003,0.0,True,-0.4793060818779201,1.2233438182092403e-09,0.001681977451677504,0.769689906954848,0.521652917782787,0.32768684744057036,0.2162404989899177,0.20949254525777616,0.0,3.1416313053216096,3.153685094911658,3.142775232043809
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,0.22500000000000003,0.0,False,-0.4670112165078689,4.368570255191327e-08,0.04161438716415359,0.7080907333887945,0.5115659518664694,0.0,0.167887235707622,0.0010169930775936753,0.0,5.494737979259926,3.1416778532114136,3.814120121054839,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA1,phiB1,phiA2,phiB2,phiB3
q0_2,0.22500000000000003,0.0,False,-0.4670109866092226,6.154958223815661e-08,0.041686761284820475,0.7080364263023737,0.5115390233180881,0.0010476602672706281,0.16783394918056674,0.0010122762557450704,0.0,0.7911820343879659,3.1408958287037385,5.057069850700807,2.4708718994824372,0.0
