ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,-0.22499999999999998,-0.3,True,-0.5122785831801289,1.727574519102206e-09,0.007762297722907507,0.8220217797544045,0.5240769270243667,0.2888651010315625,0.20333115702611276,0.36883064391699905,-0.17776304414021515,3.141504242419471,1.4442243860351412e-05,3.141553395136108
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.22499999999999998,-0.3,True,-0.48697187940880915,2.114733114674535e-09,0.0015189849244158931,0.7727209216848759,0.514232209210532,0.19425726485079492,0.1850100560162615,0.20685258121273323,-0.28453704393712276,3.141902753986744,3.217947999635788,3.139834615759218
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.22499999999999998,-0.3,True,-0.48384174698931726,1.7130901580381927e-09,0.030173660012286743,0.7400995637727356,0.5123767161236782,0.07144971502920086,-0.23426948028752612,0.16808482709237793,0.27506405635280845,2.006264184159065,3.1427592285992585,4.19610892839891,5.2711168600141525
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,-0.22499999999999998,-0.3,False,-0.48114339080961877,2.6018184052637758e-06,0.009459368753968082,0.742851606699822,0.513565555268891,-0.15687666062717018,0.17507444810153913,0.222914083746631,0.001013212551007725,0.6820763823077427,3.1412418422028305,3.9640082142524173,1.6347623608768045
