ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.0,0.0,True,-0.4749607750023332,3.323991851669248e-10,0.017321104211198042,0.7208839508149736,0.5187160580008628,0.0,0.17772556916505572,0.0,0.0,3.141473596126861,0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,0.0,0.0,True,-0.4646014293201133,2.5682328752140926e-10,0.004412422740727804,0.7113345613975189,0.5143147960509971,0.0,0.17949590855738165,0.0,0.0,3.1417110445948215,0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.0,0.0,True,-0.4721789712764829,1.5037590021794062e-10,0.007283283710591956,0.7188547923681851,0.5168609463329789,0.0,0.0,0.17622729295262898,0.0,1.950401015511134,3.141650700640128,0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,0.0,0.0,True,-0.4670121015725371,8.483176747581669e-11,0.04098713935218803,0.7081556990014816,0.5116001704377549,0.0,0.16801367778678528,0.0,0.0,5.499608058627315,3.1415705487710373,0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA1,phiB1,phiA2,phiB2,phiB3
q0_2,0.0,0.0,True,-0.4670120940110263,6.32851956934719e-10,0.04088519852070599,0.7081669146755787,0.5116061733243502,0.0,0.1680398835120922,0.0,0.0,0.7824283163161925,3.1416316979720857,0.0,0.0,0.0
