ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.14999999999999997,0.07500000000000001,True,-0.4547288141906639,1.0377018902355616e-09,0.0668445839698015,0.6657913949240503,0.5088170460280435,0.18563143230285492,0.1535291174579714,0.24502435375187434,-0.08062848828309895,3.1416818835867284,0.0003128327625437374,3.1432736914869723
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,0.14999999999999997,0.07500000000000001,True,-0.46481818728281266,1.1697876127057072e-09,0.002026527741620939,0.7209555224474236,0.5192317195570163,0.26232475071576344,0.19677285947539147,0.19679873845715543,-0.2822313134284941,3.141485561548504,3.155433720353414,3.141845911668364
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.14999999999999997,0.07500000000000001,True,-0.4592254309706646,2.2255541626429773e-09,0.004481273978603615,0.6888431469864837,0.5145645668072422,0.12182589311194879,-0.2484128521941184,0.17185123089876211,0.260412170765319,1.9149680541126208,3.139261736034233,4.175203382898152,5.233028783833324
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,0.14999999999999997,0.07500000000000001,False,-0.4686160226619705,2.202027441748171e-08,0.053747564863713064,0.7093361409198566,0.509172925853553,-0.20742794406498083,0.1616601038552463,0.0010187364978812563,0.10719009734550353,5.357440163755543,3.1404513945028643,3.691804265367387,3.2416162157160247
