ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,-0.3,-0.15,True,-0.5450735325203127,1.915544290312038e-09,0.006873090399157061,0.9070988551935688,0.5251389461853444,0.34612504893872875,0.215897320681459,0.4065057931909753,-0.1928132672925408,3.1415537496688515,0.00011450818648769537,3.1407895199413427
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.3,-0.15,True,-0.4790509526829242,2.9515690376027535e-09,0.0017169160911550392,0.7425263989923087,0.507629116565051,0.14468256028074963,0.16510488419874247,0.1963851977365756,-0.22547641754770853,3.1419326527722826,3.223643523716984,3.14076147883433
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.3,-0.15,True,-0.50749754020684,2.4227214508491147e-09,0.003867460027531754,0.8033987214907223,0.5156984269425725,0.09185767638473828,-0.3147476497074127,0.18130325379053766,0.3195487573107889,1.9724615416720321,3.1414742989949955,4.148786896543349,5.281515570281275
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,-0.3,-0.15,True,-0.4945780111549868,4.4053786731050185e-09,0.016614989839709476,0.77356319511642,0.5121327710640278,-0.21725957800166384,0.17271129584502062,0.24751906661384884,0.0012212977491923849,0.8162070365694181,3.1418491656563203,4.100262332551962,4.779285580959007
