ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.07500000000000001,-0.22499999999999998,True,-0.45763555546849366,7.120667972653513e-10,0.034541190910439265,0.6732947473546025,0.5081071509563342,0.1478611794891896,0.15423219515314307,0.23665910726037778,-0.09839549436008779,3.1415086894117565,0.0001156362138446189,3.14065162960438
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,0.07500000000000001,-0.22499999999999998,True,-0.48902511544861704,1.4895175992055585e-09,0.0015482443618987994,0.7945114210985389,0.5218535757961357,0.3160365632914511,0.21369804911075702,0.21433750835237242,-0.3502861429020875,3.14157902337348,3.1544972752403035,3.1401833440357048
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.07500000000000001,-0.22499999999999998,True,-0.45429815311127536,2.6052929589843986e-09,0.045841677730863305,0.668328920768611,0.5060608063238171,0.0811392953053307,-0.15485644397649465,0.152812278476,0.21272176985512734,1.9660693246787084,3.1411927336864927,4.168199259474914,5.218713023615828
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,0.07500000000000001,-0.22499999999999998,True,-0.47593586724547876,2.1932651708989208e-09,0.003310430479572398,0.7547185438566697,0.52023793527593,-7.401544509647641e-05,0.20115922598679334,0.2072345071368278,0.3128608154032391,1.4033058935807668e-05,3.1440351612532247,3.140410870643024,3.182382704538424
