ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.22499999999999998,0.14999999999999997,True,-0.46929568693734325,2.4842000419265594e-09,0.004375926813465179,0.704469948320197,0.49967930009139844,0.10987016476774014,0.1330519522353478,0.1751590007443174,0.14213267606848382,3.1413068732467258,3.147651391600198,3.1417903208912006
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.22499999999999998,0.14999999999999997,True,-0.5392093075699935,2.662409734166164e-09,0.0025711601359384266,0.888438957058466,0.5164716852923676,0.09737208599266312,0.3884248146244918,0.18605227110301434,0.35458634771601377,1.9716601227652104,3.145462761469509,4.208563442181898,5.307016114318791
