ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.22499999999999998,-0.15,True,-0.47811946669321026,4.319427335090987e-09,0.0026447412218960306,0.7327011526759204,0.5063662996163215,0.16004956846934187,0.1510684042895366,0.18995064836089418,0.2038913443435813,3.1421966914612507,3.144010547166528,3.139580169785112
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.22499999999999998,-0.15,True,-0.5063823655394953,1.8356407308956693e-09,0.005623206294111094,0.8016390146253655,0.5135124920202306,0.05470485062897256,0.26601976669582117,0.15997637509482598,0.3059691518894098,2.047940757548896,3.14314619692185,4.222534913620567,5.311455994164969
