ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.22499999999999998,0.3,True,-0.46670803616022544,3.497394574498216e-09,0.00566267262791573,0.6963072791233956,0.49726637383614863,0.09365916634261615,0.12741543398278912,0.16979060942250632,0.12116508239730536,3.1420846635525557,3.1477593900582987,3.1391920142882754
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.22499999999999998,0.3,True,-0.5648905453353067,2.4287217317243017e-09,0.002348754921143108,0.9494191612976297,0.5130629054303965,0.11125341281051211,0.4366329844375058,0.19382063068606584,0.3709754241102712,1.956702359524871,3.1459159806492965,4.203266536335466,5.310267210014422
