ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,-0.22499999999999998,0.0,True,-0.5338267395870087,3.973978839340585e-10,0.007859625045721852,0.8780155197403848,0.5248579921533417,0.0,0.2112713069966114,0.40038253817266156,0.0,3.141634446977783,2.941296998780799e-05,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.22499999999999998,0.0,True,-0.4697043182959146,3.2273242047376667e-09,0.00219095742964058,0.7159630357037633,0.5060355518823659,0.1305136059537136,0.15912132859549205,0.1877694570540164,0.0,3.141968056474732,3.222355506847434,3.1389733408949447
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.22499999999999998,0.0,True,-0.5099294090908368,2.8591987726673584e-09,0.002576074276340871,0.8137713913601418,0.5180038975591146,0.11185283370157093,0.0,0.18840328817702026,0.33296115117251773,1.9572763611700734,3.1406905992748038,4.125840953398669,5.287770451173952
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,-0.22499999999999998,0.0,True,-0.4930323716421062,4.725460955943773e-09,0.019962511456905547,0.7702703350748297,0.5101477350758862,0.0,0.16897168908911928,0.2565799113760017,0.0,5.412715112423988,3.1419023068516214,2.1279355287381305,0.0
