ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,-0.07500000000000001,0.3,True,-0.5200007371098367,1.9502900954081255e-09,0.011806057977724787,0.8368366417504601,0.5180071616353316,0.38642507324283065,0.19641149233865676,0.3859032775880333,-0.1487872842719591,3.1416146609349798,0.0008568347711988019,3.1414212936419883
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.07500000000000001,0.3,True,-0.45575364179296574,1.9338688997258927e-09,0.003787997340741423,0.6772137095175369,0.502205140134569,0.10955793912290819,0.1501299872273639,0.17135032589979582,-0.14361966904964582,3.1418624908996255,3.223478573247534,3.1409533097797815
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.07500000000000001,0.3,False,-0.507578808227833,1.1022662828069902e-06,0.0022548686707573777,0.8161981016363512,0.5156498237834729,0.13881058644523445,-0.42159124861067077,0.19320180481733232,0.010000867334262892,1.9373615442356324,3.140823738815132,4.100952963009189,3.750937926419714
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,-0.07500000000000001,0.3,True,-0.4925761310664496,2.5270411533302026e-09,0.04063706744339383,0.7703071306259333,0.49929923991189545,-0.31825833575177875,0.15302777556413405,0.2807244620944605,0.06850092379392328,5.337304232347135,3.1390766695592323,2.0325519886930703,3.2548074722339444
