ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.3,-0.07500000000000001,True,-0.47348669674694305,3.1643996390246593e-09,0.002917766282041396,0.716821214219963,0.5043964360596298,0.14269800099013116,0.15196475294325112,0.18499967184676896,0.18384674703904264,3.141615431588325,3.1411246072270447,3.1414477866641524
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.3,-0.07500000000000001,True,-0.5178176050596022,3.464436020078774e-09,0.002671686527064182,0.8337539824529118,0.5177577823756156,0.08763203651165248,0.35303804125383675,0.19044684387196414,0.3370542495419257,1.9566785942795328,3.145881248340427,4.203563519404476,5.289599823016422
