ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.22499999999999998,0.3,True,-0.4622374878579871,2.1905418882995227e-09,0.005262856512626794,0.6846247949871647,0.498981514845426,0.10353380381699584,0.13960911175515447,0.1687088665646945,0.12551974118673662,3.141683637310832,3.1419052492297643,3.1399730062213087
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.22499999999999998,0.3,True,-0.5633694520077364,1.4743206549972133e-09,0.002084175409851039,0.9475310915350154,0.5125255110883219,0.11815202191475858,0.459703530728207,0.2031480716243729,0.3754613712523784,1.9364627711969822,3.1463334299420045,4.201942602106749,5.306114670290741
