ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.3,0.3,True,-0.44196822297584687,2.1626902185898654e-09,0.10689040639628276,0.6403680044870818,0.5018466483633971,0.18424913345555535,0.14258865152299957,0.22582040955338242,0.046287876862117563,3.1416424677737176,-0.00032236852769808983,1.1e-5
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,0.3,0.3,True,-0.4419683343506908,2.8649054341792576e-09,0.10674405250584,0.6403487453520985,0.5018406324360546,-0.184094281783825,0.14257802649031645,0.2257955370601324,0.04627108276684288,3.1416754394334907,3.1415964775105,-0.0005692161498458964,3.130956193699161
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,0.3,0.3,True,-0.46139425681228147,1.8533794498014275e-09,0.003171211369058793,0.7030889900534937,0.5198182362570528,0.2699957142754392,0.19820889567365738,0.18871105306032565,0.27579735683972745,3.141773411884011,3.1415611865085498,3.1419394812089734
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.3,0.3,True,-0.4604260041668102,3.2211088335155546e-09,0.002643697136924829,0.7055208473160944,0.5168583389660707,0.17147052126514517,0.32631285468003374,0.18791326932193128,0.29670457677318174,1.8960797115503867,3.15085137771761,4.005629527105071,5.255205370913888
