ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.22499999999999998,-0.07500000000000001,True,-0.4717434791499009,1.629189262490019e-09,0.0027556692485874493,0.7147590373131433,0.5074696094764659,0.15976773155847426,0.1586944379490065,0.1861603912633138,0.1981688738239235,3.1418401774131355,3.141345180824154,3.14158415227565
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.22499999999999998,-0.07500000000000001,True,-0.502618638376896,4.465812416796366e-09,0.003036491432257198,0.7957457864152256,0.5183021972089209,0.0871975272480923,0.330991152334931,0.18690748133015075,0.3226407451416406,1.9587643428105082,3.144749369623538,4.1974388067397,5.283765782492429
