ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.22499999999999998,-0.22499999999999998,True,-0.4789798486334629,2.216929239665612e-09,0.0021501334531666516,0.7381765807828726,0.5119235648486774,0.19510448368172645,0.17089045719135176,0.195903492400912,0.24152269643118993,3.1413186305875214,3.141118550430796,3.142125404760552
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.22499999999999998,-0.22499999999999998,True,-0.4890834902841116,1.33426465634242e-09,0.005331991107082118,0.7566826466525441,0.5152582457773806,0.07084265259013858,0.26924459790472627,0.17589864725229426,0.29267494967226365,1.9786564989376245,3.1433770974871686,4.187660406631497,5.272048699809113
