ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.15,0.14999999999999997,True,-0.46292013715270275,2.223970332119743e-09,0.004032925746925043,0.6897551019850335,0.5042756180496561,0.13472581689081423,0.15097181611510913,0.17485373466145876,0.15959512171583573,3.1417345912462795,3.140610905515719,3.1417338083468653
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.15,0.14999999999999997,True,-0.5173264571738434,1.5124261235284694e-09,0.0023707967268951384,0.8389395418183329,0.5184265239380236,0.10942762852162628,0.40081157055512373,0.19679553921713683,0.34999353932270283,1.9429195062156064,3.144273267521264,4.196347656114572,5.2945759922941455
