ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.22499999999999998,-0.15,True,-0.4750048587030381,2.5065379771887134e-09,0.0024687334748595678,0.7253127855257341,0.5096743020585247,0.17652248495121423,0.16446293793406483,0.19086987355207485,0.21891504712790438,3.1413700775019864,3.141072714183418,3.142265599924712
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.22499999999999998,-0.15,True,-0.4951537194406277,1.9039011234175588e-09,0.003792796361680571,0.7743893217098492,0.517058431388758,0.07897618746850919,0.29982617901637826,0.18148677102259128,0.3077147805792775,1.9675186381209278,3.1440540949025926,4.194682406980623,5.27728683326954
