ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.15,-0.3,True,-0.4855190036427851,1.9171461688834156e-09,0.001817167462332299,0.7633530737174494,0.5178081144447674,0.24427066742308795,0.18849281356200365,0.20495592499907864,0.29231301454134495,3.1417187776772177,3.142036837479961,3.140449657798934
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.15,-0.3,True,-0.47400457951089114,2.884383905640626e-09,0.019575831810838794,0.7160535451107342,0.5113342359000679,0.06165667239802496,0.21199503170401618,0.16467841194859378,0.2578743575027668,2.0096160468141147,3.141906246409325,4.161140326365061,5.266777316008759
