ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.22499999999999998,0.0,True,-0.4690693050674524,1.908615332732507e-09,0.0031727194898987193,0.7061569877154135,0.5054014560445955,0.14500849087498976,0.1536427226434119,0.18188382712194526,0.0,3.141894792303661,3.141855284820893,3.141059223967505
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.22499999999999998,0.0,True,-0.5116242175134174,1.225392770317846e-09,0.002615311691502283,0.8206490482777128,0.5187746128378924,0.09501426022869063,0.0,0.19179735652574875,0.3366601542025951,1.952115818640517,3.1451847932960577,4.202826951668332,5.289319122093353
