ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2,phiA2
oct,0.0,-0.3,True,-0.45697654847775104,2.5775965553406783e-10,0.0336499802536274,0.6818936003416993,0.49901819508874523,0.0,0.14329022658183593,0.0,-2.703552460766572e-05,3.1416902048048065,-0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.0,-0.3,True,-0.461958935418646,2.6112793232585188e-09,0.008725098212353056,0.6916518581374966,0.510576825634605,0.1713239193224703,0.16459685570912225,0.0,0.10913061564188971,3.141422589713358,0.0,1.1e-5
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,0.0,-0.3,True,-0.4619587919820087,1.96001103827397e-09,0.008583327918123575,0.6916403085946518,0.510572691036182,-0.17131996764551805,0.1645925814713319,0.0,0.10906815460328825,3.1416655381353458,3.1415102045161927,0.0,3.135686361784082
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,0.0,-0.3,True,-0.4953344825311573,2.9099379067366264e-10,0.0016440231886104986,0.8005906403325109,0.5229688202404059,0.0,0.21037173521459943,0.0,0.35050754749209767,3.1416695894969786,0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.0,-0.3,True,-0.4581086822159146,5.080094279756108e-10,0.06436497443475907,0.6767397482242278,0.5062850371434322,0.0,0.15873466980478632,0.15326438085241514,0.0,2.0383127120650832,3.1414160201819628,0.0,0.0
