ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.3,-0.15,True,-0.47626322405658295,3.0038041387013853e-09,0.0025725050534581785,0.7256104202743869,0.5062823065327985,0.15673541592257606,0.156805227773257,0.18907117157214445,0.20150289888396955,3.1415584839972177,3.1404167900225133,3.141456305409683
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.3,-0.15,True,-0.5092080849650834,4.414481532739816e-09,0.003165449819405008,0.8102260798007695,0.5170626122415817,0.0799089620428778,0.32439317686797253,0.18568569237595806,0.32428368921706047,1.963426864163267,3.1451459632158523,4.198783161001705,5.283599166673831
