ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.22499999999999998,0.07500000000000001,True,-0.4668684607217029,3.6679209740473388e-09,0.003553016321016864,0.6991091863675474,0.5035063471811351,0.13215063673702962,0.14928168980924048,0.1779616009005929,0.16342175454717475,3.1413129956896713,3.1423871670216967,3.1410719484356995
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.22499999999999998,0.07500000000000001,True,-0.5222384138500455,1.938377103207411e-09,0.002365454922696516,0.8487700968182709,0.5183780641134077,0.10215190631205523,0.3903426604208547,0.19590839025133522,0.3491240233981716,1.9470177479110182,3.1453452698902367,4.20028190513483,5.294502520446504
