ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.0,0.0,True,-0.4714289331600599,1.259236398322302e-10,0.007656169697267756,0.7177083217263218,0.5170871320943822,0.0,0.17794558695082638,0.0,0.0,3.1416570752309037,0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2,phiA2
oct,0.0,0.0,True,-0.45697654785079095,2.4633911351997104e-12,0.033649851068838554,0.6818945490250723,0.4990187137579585,0.0,0.14329003373737467,0.0,0.0,3.141592590880853,0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,0.0,0.0,True,-0.4714289328467214,5.981176558789333e-11,0.007649695456650831,0.7177078949402945,0.5170877043529357,0.0,0.1779470054639533,0.0,0.0,3.1416064400879247,3.1415712939905145,0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,0.0,0.0,True,-0.4679014643334089,1.9187730035192423e-10,0.0026019303411803766,0.7137574446646406,0.5162166104536036,0.0,0.18035982632014858,0.0,0.0,3.1416880921810946,0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.0,0.0,True,-0.4717289549745919,8.12762529476074e-10,0.008617026084271501,0.7184749102497073,0.5166439352855093,0.0,0.0,0.1762280598721287,0.0,1.9520725311584877,3.141446257570303,0.0,0.0
