ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.3,0.22500000000000003,True,-0.4662315454215198,1.7905955638763248e-09,0.0046189441058288195,0.6941636892121521,0.4984088382916092,0.10222269243419381,0.13829655867587465,0.17209030911917625,0.1303700451585149,3.141404426929711,3.140928479826049,3.14156666453996
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.3,0.22500000000000003,True,-0.5670024560499075,4.192218870021805e-09,0.0020501346335623197,0.9553274107387165,0.5134290739805614,0.11221640318436746,0.4488611256718303,0.202777810957068,0.3747150645362105,1.9386615609680455,3.1474776238745266,4.202498181242379,5.30571052294799
