ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.15,0.07500000000000001,True,-0.46503248155299726,3.344928738130049e-09,0.003493458523687431,0.696585236554989,0.5063162908456695,0.14808644150497918,0.15550442068616396,0.17888225426847387,0.17655555039160797,3.1417635607451353,3.1424342880685145,3.1396352285939138
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.15,0.07500000000000001,True,-0.506136793644356,4.041277068699105e-09,0.002593591530430295,0.8094465565699455,0.5192600125336557,0.10254965038138003,0.3710987815004871,0.19280879199298145,0.33687514840289906,1.947730229408857,3.1439029363784656,4.1947624609168805,5.289281734167982
