ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.22499999999999998,0.22500000000000003,True,-0.46352178084738094,2.7756589882977874e-09,0.004693937362701753,0.6885874446192553,0.5003090704607808,0.11170329690034032,0.14234385659086599,0.17140779083251187,0.136345938092864,3.1417758503540445,3.1390018747000488,3.14135155077237
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.22499999999999998,0.22500000000000003,True,-0.5481961740466957,6.860405718678048e-09,0.002130054272015933,0.9126301043418392,0.5151328340114681,0.11371683602730417,0.4393706508596876,0.20151942466774053,0.36837591730260816,1.9396193914231283,3.1458819758784435,4.201002997036537,5.302775194115507
