ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.0,-0.3,False,-0.47627976223112456,7.545537214349087e-10,0.0054927347337688365,0.734991005400379,0.5190215883333728,4.044035055122963e-05,0.18459185807185585,0.0,0.13729548594610266,1.5707106325375184
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.0,-0.3,False,-0.5054894782290992,0.003803192255035572,0.13920762395048122,0.7780893661846655,0.5027359887263617,0.0,2.4167997048068513e-09,2.611369431052002e-05,0.0,4.7121521636419885,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.0,-0.3,False,-0.4888860536928029,0.001692545285577577,0.011287646807874264,0.7756415832669468,0.4874684508429004,0.0,0.031154447808079206,0.0,0.272527073858796,2.2560120271929818,0.0
