ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.14999999999999997,0.0,True,-0.4497042376885012,1.669039391412114e-10,0.05267086879286668,0.6580118555919625,0.5051400194169213,0.0,0.14988656926794686,0.22871239616293512,0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,0.14999999999999997,0.0,False,-0.4573357580579041,1.413841396940806e-09,0.0030532410827852703,0.687603745290892,0.5144771196479713,0.0,0.00010488179014284116,0.17582480771070455,0.0,4.7119275406155126
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,0.14999999999999997,0.0,True,-0.45459104267538725,7.665663765408266e-10,0.005844790803961959,0.6757578220274282,0.5111243944550784,0.10903286044716272,0.0,0.16471872776002103,0.23953493325257372,1.9092398036732818,5.212841150271827
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.14999999999999997,0.0,False,-0.5109461250553938,0.010304546482000116,0.1186613915368511,0.7925699261129419,0.5022173473879031,0.15530081148303654,0.0,4.3190175763180294e-05,2.911583918407956e-09,4.711984767467888,3.141944859592298
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.14999999999999997,0.0,False,-0.4569765487076792,2.551890633606785e-09,0.03362208771928187,0.6818895567198521,0.4990178050121034,9.912886311658209e-05,0.14329508257300502,0.00010166365367764163,0.0,3.141354634115309,1.5702613072867473
