ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.07500000000000001,-0.07500000000000001,True,-0.4595503063083138,2.6579842234785022e-09,0.013538445932819053,0.6849981128802279,0.5119025156555292,0.001120520867681496,0.16453448343944543,0.2720063188800332,0.09571821199873964,4.718065989762454
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,0.07500000000000001,-0.07500000000000001,False,-0.4672356306929437,2.3886759590914412e-09,0.0024180443474988013,0.7165439576908704,0.5182017165938569,0.0006081834619995341,0.18630681140906452,0.19437185517201394,0.26498001713002417,1.5732596170954474
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,0.07500000000000001,-0.07500000000000001,False,-0.46824857048900026,2.788494125039566e-09,0.0048718707137653935,0.7086508728033564,0.5156094300969637,0.10941277248567072,0.2501617012726671,0.1740460505687956,0.00035440529444494273,1.9439107762972374,3.6806981996671078
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.07500000000000001,-0.07500000000000001,False,-0.5080381750979451,0.0029023369608614374,0.12972980991647118,0.7847300994260331,0.5026280614407593,0.1412773169608229,4.6622689098274606e-08,1.2277796329257518e-05,1.0354705981541201e-08,1.570923116871283,3.141359825507447
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.07500000000000001,-0.07500000000000001,False,-0.4569765493938989,1.994888122216274e-09,0.03364699984073698,0.6819096723119872,0.49902802762696624,1.4180912463190865e-05,0.14328932491902355,6.0727236277979824e-05,1.472878706684777e-05,3.1417389992240627,4.712403367157151
