ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,-0.22499999999999998,-0.3,False,-0.5080247002964441,1.421135626228083e-09,0.003467936080136792,0.8178555974558774,0.5225482824841982,0.28909351285044027,0.203657725974887,0.36890971380273363,0.17016819363969662,0.00017238428339139134
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,-0.22499999999999998,-0.3,True,-0.48379465722570336,2.096654171683512e-09,0.0019473413020876518,0.7535849911812473,0.5140778041938504,0.21501003606469143,0.17779100628051894,0.20095820663763386,0.26513681134885225,3.1415985306110756
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,-0.22499999999999998,-0.3,False,-0.45697156793552257,5.8407524096374e-10,0.08673060010031242,0.6737235599825349,0.5041019600346193,0.04057789695476177,0.14688407266786085,0.14841000264295062,6.560700746760517e-05,2.1431464193436103,3.7588842859947773
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,-0.22499999999999998,-0.3,False,-0.5054894799574446,0.029064328654574305,0.13920767597632655,0.7780808642242933,0.5027304933056843,2.014985289122695e-06,2.7858632067889744e-10,4.9261689500368355e-06,1.8407314561486032e-10,1.5708263744756465,1.570877525549357
