ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.3,-0.15,True,-0.43710873430254377,8.195553684326419e-10,0.09070325073784642,0.6297669454550313,0.49367651390300854,0.06840165277934271,0.1296022492282733,0.16512132140433147,0.04689212625361998,6.2781704380861045
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,0.3,-0.15,False,-0.4556273095333899,4.5274839171965114e-10,0.0025074288184413675,0.6923258778541708,0.518645643035595,5.48221147504413e-05,0.1878105743483602,0.1926529168208938,0.26405478911672964,4.712243079405813
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.3,-0.15,False,-0.5179101763661468,0.03689340234890136,0.08993793568845279,0.8127236358851154,0.49954234564221517,0.19160075718020442,7.419487468851571e-09,1.0790624351136868e-05,5.444532047427231e-10,4.712302825850834,3.1417308351058257
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.3,-0.15,False,-0.4569765439486214,2.0756856001494717e-09,0.03363751973186131,0.6818908930910099,0.49901517969718245,1.901156295941453e-05,0.14328734737290427,8.236036781431033e-05,0.0001057732934851563,3.14149717435788,4.712920038706514
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,0.3,-0.15,False,-0.471625634478097,2.18105137665438e-09,0.002857369133804059,0.7226930227874772,0.5166287990535618,0.16026340087091112,0.25404542473981295,0.18428773012116179,3.140670928822309e-05,1.9058312690819248,3.6779945093689426
