ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.0,-0.22499999999999998,True,-0.4634710584503921,1.11657928907804e-09,0.008562646442723485,0.6955904312532208,0.5122399152686787,0.1876907605983068,0.16749580615479903,0.0,0.11013471647453357,0.0015502280627294558
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.0,-0.22499999999999998,False,-0.5054894801016184,0.0021392937788457522,0.13921039049192774,0.7780950571184957,0.5027396635383029,0.0,2.7389318590920197e-09,5.0629212482444785e-06,0.0,1.57085559641729,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.0,-0.22499999999999998,False,-0.5060607288797326,1.0414034504027637e-10,0.016798982765781546,0.7915002457471081,0.5030231791799626,0.0,1.6078864017443628e-06,0.0,5.214058087121831e-06,4.712371673277129,0.0
