ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.3,0.07500000000000001,True,-0.43818286509903726,3.11714067868003e-09,0.08396525544802672,0.6312158387225667,0.4966194774909181,0.10091460967703418,0.13381291636018913,0.18203399514550253,0.045809018815966995,6.273121786739066
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,0.3,0.07500000000000001,False,-0.4448188700681587,2.167388255089297e-09,0.004679855702445325,0.6535239121699787,0.5090919829627059,2.3962304438740478e-05,0.16370701554568046,0.17128880970072355,0.17557373874390073,1.5709617159708087
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,0.3,0.07500000000000001,False,-0.4928697106921417,2.8485471707494038e-09,0.002053506766184092,0.7863322344179735,0.5221078481222403,0.1905876324472967,0.3579396623539668,0.20459166488884928,4.293181607240015e-05,1.9237687900629947,3.7153839987093122
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.3,0.07500000000000001,False,-0.4949543959409317,0.03367926070968955,0.07507590173037401,0.7948766563223132,0.49504340329392876,0.20159565241033311,0.41559502578491286,0.037250386452816246,4.482180004579086e-09,4.3185683483416595,3.5779302880830066
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.3,0.07500000000000001,False,-0.4402396566076668,9.759532421837718e-10,0.08213895658117684,0.6408720054634176,0.4942902609747327,3.0373500645582745e-05,0.1298825736926739,0.15635752017792334,7.756057737890408e-05,3.141494855973866,6.282570076750549
