ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.07500000000000001,0.3,False,-0.4568956551284659,1.80498942646215e-09,0.04058244630536723,0.6753199454439899,0.5090207459578657,5.131798305674229e-05,0.15822797612395612,0.2531933653481714,0.07370922871532182,4.712632028971578
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,0.07500000000000001,0.3,False,-0.45185575881854917,1.607655042023181e-09,0.0057670296136159436,0.6642749376412312,0.5048002545380532,0.00019124737840298112,0.1536171300460282,0.16662811297558375,0.14656519732308254,1.5718989678749424
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,0.07500000000000001,0.3,False,-0.47203435084714956,0.00011000996973185563,0.11034387045108145,0.7150926590703299,0.49030224290365854,3.815811905338862e-08,0.27669655620125294,0.12529684031411167,0.0002527930563222258,6.28299274440548,1.5715609444602665
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.07500000000000001,0.3,False,-0.5079365186575089,0.005913118884130865,0.12830653576266285,0.7856668246324864,0.5025543037651777,0.16263659866277913,1.5956069965294972e-08,4.562515725251015e-05,2.9333443340995302e-08,1.5711759552900884,3.141633300981314
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.07500000000000001,0.3,False,-0.4523898979633543,6.814761209274464e-10,0.04397720805917012,0.6703079443409766,0.49800555067460706,2.389998532413769e-05,0.1399686278207744,0.17216797297140388,1.053745652721097e-05,3.1415842052883747,6.28111523840036
