ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,-0.3,0.0,True,-0.5555147886087974,2.6383527234045017e-10,0.003151736323195158,0.937514019940433,0.5224584969607446,0.0,0.21820737912951543,0.4179854149303143,0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,-0.3,0.0,True,-0.4711753807601137,2.6054199930201274e-09,0.003297208372892582,0.7095051407486171,0.50265442393456,0.0,0.13033813250729476,0.14775827561425842,0.0,3.140892676339105
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,-0.3,0.0,True,-0.5279598714064564,1.2990546030674173e-09,0.002358887688728873,0.8606304264838501,0.5177531163147521,0.0946170913267873,0.0,0.19469391790094748,0.34882806919151854,1.9506049661141678,5.294377709750593
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,-0.3,0.0,False,-0.5054894793563544,0.04490867839809535,0.1391969250062463,0.7780818042921951,0.5027311019682057,3.734846790781621e-05,0.0,8.73585100830132e-06,2.0471102590846613e-10,1.5708347100065343,1.571068174034848
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,-0.3,0.0,False,-0.5060607226148063,1.4669345002542613e-09,0.016775205970614597,0.7914910814436203,0.5030173669418049,1.9039606107273954e-05,4.5013244199199054e-05,2.2025392506536123e-05,0.0,1.5712148844868363,4.712567259784253
