ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.07500000000000001,0.22500000000000003,False,-0.4204275368730305,0.02069119669396424,0.049944129488076784,0.6119561815253123,0.4663893607389057,0.3546082847269578,0.10466954664794617,0.3219190762882812,0.07557299445316226,3.1425880534913655
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,0.07500000000000001,0.22500000000000003,True,-0.45780811032090907,1.4255753952466719e-09,0.003903726695408647,0.6831904139801268,0.5115443884323219,0.18212033473898062,0.16905620573726665,0.17694194562958848,0.19631132719027644,3.1438428476549074
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,0.07500000000000001,0.22500000000000003,True,-0.4838773057995843,2.426412636023263e-09,0.0027650290073156004,0.7600128083705071,0.5192665718084656,0.14699323968380662,0.37107156670704244,0.19186336510606367,0.32667825705517933,1.9329767905702737,5.280845375600515
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.07500000000000001,0.22500000000000003,False,-0.5079998638930321,0.004517066899384654,0.12896354295894896,0.7852411432870582,0.5025963841226245,0.15267491926411492,1.864434662213199e-09,2.6349864356095543e-05,8.503295567674485e-09,4.712092025973533,3.1431323305484633
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.07500000000000001,0.22500000000000003,False,-0.45697654710803043,1.3492292724753747e-09,0.033638760943294356,0.6818990910676251,0.4990218011081327,7.393150463463893e-05,0.14329045742195157,0.00018603136631509254,7.417147705301996e-06,3.1415548532742896,1.570216904183577
