ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,-0.15,-0.22499999999999998,False,-0.5136918007078701,1.3265351447876502e-09,0.0036828501777487004,0.8350495346583975,0.5231860771114362,9.550284629450401e-05,0.20679985632298933,0.38813553297439957,0.1708123075385533,4.712648199976014
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,-0.15,-0.22499999999999998,True,-0.4796475966511803,1.6213297170115052e-09,0.0020589374345854677,0.744539310042722,0.5157887980753061,0.22250592301299044,0.1810355267364431,0.19948569192106314,0.26704784952392013,3.1421731110924824
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,-0.15,-0.22499999999999998,False,-0.45917621387582136,1.949248584196487e-09,0.06016370825316109,0.6795657212843773,0.5066780068363786,0.0519448593749785,0.17047605802289156,0.15316301466770085,0.00010637383410794232,2.0616471608543723,3.7103745479000327
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,-0.15,-0.22499999999999998,False,-0.5054894804092825,0.01336646903198339,0.13920386142442917,0.7780888424653453,0.5027356483490172,3.51269503443552e-05,2.170319107763774e-08,1.0056334788788313e-06,5.842625827590098e-10,1.570833442614833,4.711993573852563
