ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.0,0.07500000000000001,True,-0.4757356572525965,7.795256548071059e-10,0.007356823569268172,0.7296464204229046,0.518019301328486,0.2804711488246191,0.18136393368645642,0.0,0.11925498797345789,6.281390458452967
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.0,0.07500000000000001,False,-0.5054894774262505,0.0002376989965801125,0.13920773573470377,0.7780901752606121,0.5027365120023642,0.0,4.803792491570036e-08,2.6487249325524154e-05,0.0,4.712157076487031,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.0,0.07500000000000001,False,-0.5060607287650456,2.867479476193692e-10,0.016798639030246528,0.7914961694736252,0.5030205927514151,0.0,1.271722450463253e-05,0.0,6.36307856890228e-05,4.712257860618349,0.0
