ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,-0.07500000000000001,-0.15,False,-0.47929542370026323,2.5096941655603595e-09,0.005374529799169596,0.7399064161728958,0.51915229528316,0.25189101992247465,0.18529517539317633,0.3234452425552375,0.13588780349907936,0.0003996080010450352
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,-0.07500000000000001,-0.15,True,-0.47602959890003127,1.1355845689422285e-09,0.0021710663149985985,0.7369054000978353,0.5173768688407222,0.23116089833578496,0.18457464838458035,0.1982081275896061,0.2701158240485531,3.14121423291143
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,-0.07500000000000001,-0.15,True,-0.47200303388317183,2.472743080296336e-09,0.00745366356838577,0.7143229066484243,0.5139443543357022,0.07649197086243134,0.2391948492482126,0.16960854470526077,0.26732754132682923,1.9763747417989952,5.259390320663498
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,-0.07500000000000001,-0.15,False,-0.5054894724538164,0.003757596052436658,0.13919209699947224,0.7780934649237953,0.502738646719701,0.00021573506522082342,4.942558046172607e-08,9.24896351317539e-06,5.863539864758849e-08,1.5708652135432912,4.710707342292198
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,-0.07500000000000001,-0.15,False,-0.45697654878530153,2.7598009026071718e-09,0.03363960446395815,0.6819073804483695,0.49902676813430535,6.472636874327309e-05,0.14328978819885455,0.00023327073683887534,9.2811581855895e-05,3.14151808978273,4.713129138844298
