ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,-0.22499999999999998,-0.07500000000000001,True,-0.5235694456786087,4.689932743270992e-10,0.0034666876944300334,0.8585731608899623,0.5237123691427585,0.33899173766491564,0.21018371642934816,0.3936271136932196,0.1743896130302979,6.2826021351649475
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,-0.22499999999999998,-0.07500000000000001,True,-0.4717434761468832,8.542575969754923e-10,0.002821834579489078,0.7147835248363491,0.5074779538029944,0.1597533267463792,0.1587017841844163,0.1861917630193647,0.19823179003627509,3.141785466032714
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,-0.22499999999999998,-0.07500000000000001,True,-0.502643083456979,7.132718283461679e-10,0.0030115386765518283,0.7958563266260674,0.5183200105237091,0.08694144514793811,0.33127788547238496,0.18696652829575255,0.3227386069201846,1.9587213216807682,5.283263126989243
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,-0.22499999999999998,-0.07500000000000001,False,-0.5054894667369773,0.025498839498523183,0.13918310520385296,0.7780857768850354,0.5027336834242798,9.013657056256008e-05,3.742063714451405e-09,4.6954521781522596e-05,7.580676225638072e-09,4.7118871835654375,1.5717481355430951
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,-0.22499999999999998,-0.07500000000000001,False,-0.4723728285152804,1.0058289420371761e-09,0.017507390509642017,0.7212710876110814,0.5011031082545994,2.4430713675148656e-05,0.15232696208330854,0.19187997946933683,0.0001123288266414905,3.141502410189865,6.282317230898136
