ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.22500000000000003,-0.22499999999999998,True,-0.4413244909628486,1.2657448759657194e-09,0.08931796045569655,0.6388859254945243,0.4965950483967074,0.08396579656872809,0.1350008023761965,0.17977895496949015,0.056056457439684966,6.282404285926786
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,0.22500000000000003,-0.22499999999999998,True,-0.5162018652491325,9.872532880415193e-10,0.0017120373864775804,0.8605764835851426,0.5215272012031192,0.37427426598849955,0.22938398126324286,0.22140017783083124,0.40268239111546933,3.1416216218552426
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,0.22500000000000003,-0.22499999999999998,False,-0.46443379859386164,4.9745944170078225e-06,0.004385760529948074,0.6990269114388015,0.5130627120136356,0.12681556757875526,0.2112704769100953,0.17201764743767417,0.0100010628322749,1.919165384203458,3.701451281687015
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.22500000000000003,-0.22499999999999998,False,-0.514180206050919,0.02310234851522391,0.1047722550452674,0.8023123088372632,0.5011806008966171,0.17608059558288564,3.1891073115630775e-10,1.795553036582076e-05,1.5254681129395209e-09,1.570984333097943,3.1413443470924434
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.22500000000000003,-0.22499999999999998,False,-0.488187379192614,2.8718182122164157e-10,0.026501243043545796,0.7473828746603831,0.5025521463819511,8.943196107724649e-06,1.2962762522827909e-06,0.1939658138898975,2.607226452908118e-05,4.712425402227907,6.2830259313198855
