ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.14999999999999997,0.07500000000000001,True,-0.4493662131149931,2.8406033213830793e-09,0.06091509664387648,0.6568749028997236,0.5047475708472499,0.0013742401381628966,0.149144696871161,0.2262760894720112,0.06577072233040532,1.5622351794505032
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,0.14999999999999997,0.07500000000000001,False,-0.4539832439745614,5.261923543706633e-10,0.003675542688793277,0.6759083102371323,0.5114379504196587,0.00012842883278940675,0.1683665951237254,0.1781467574943851,0.1979632409669471,1.571427902740619
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,0.14999999999999997,0.07500000000000001,True,-0.45856772491823844,2.2439537665278593e-10,0.004345576574145029,0.6887962403669782,0.5145120852313063,0.12222371256364148,0.25082650107224325,0.17251058464572513,0.2618045116531366,1.9157456297680755,5.234184957826685
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.14999999999999997,0.07500000000000001,False,-0.510479132434304,0.010453975611110123,0.11758964577274517,0.7922738581492138,0.502153451507284,0.15692476989976872,0.030471056401428998,5.4899754437648385e-05,4.5491069522451966e-09,1.5713083265836152,3.14099826546546
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.14999999999999997,0.07500000000000001,False,-0.4480771483812995,7.29725342851844e-10,0.05620639409584699,0.6596268064711728,0.49686832095522143,3.0496940655656375e-05,0.1365965757821685,0.1668914617960449,7.370641098437662e-05,3.141630373336013,0.0005062332261151103
