ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,-0.3,0.14999999999999997,False,-0.5504218344222399,7.957103523431618e-10,0.0032780489684828976,0.9234209756529058,0.5227107559143255,0.00010933057281375946,0.21621068937143537,0.413136961224755,0.1815738524318165,4.712797101077237
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,-0.3,0.14999999999999997,True,-0.46761328428454063,9.068645841556742e-10,0.004166697462566802,0.6983937461092593,0.49966301153538456,0.11030349416889781,0.14098992909666222,0.1747750569570429,0.14123958046643403,3.141091011947457
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,-0.3,0.14999999999999997,True,-0.552627656572037,6.665014687046187e-10,0.0020822468354526604,0.9218707033868161,0.5155124979015767,0.10689500555301422,0.4285087909946454,0.2008442046030215,0.36769244798208356,1.9418835880192873,5.302572758821405
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,-0.3,0.14999999999999997,False,-0.49562947393107504,0.04362112007687436,0.1282395725041298,0.7717760851766186,0.5017600345446439,3.1830062786120106e-05,0.18422789784661298,9.296418600868162e-06,9.220718910629699e-10,1.5708939073712258,4.7119771381213145
