ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.14999999999999997,0.14999999999999997,True,-0.4540779924361194,9.341690478674361e-10,0.04745048571004886,0.6699539288985312,0.5085918392478324,0.2136222704287204,0.1568073704577302,0.2591434750076342,0.07188013341252353,6.283058413490398
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,0.14999999999999997,0.14999999999999997,False,-0.4513882264318437,1.2132529043820857e-09,0.004468796416499653,0.6669452187080169,0.5085882111573592,0.00011445710953644772,0.1619426119368364,0.17246580525694727,0.17436187588657756,4.711532733991932
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,0.14999999999999997,0.14999999999999997,False,-0.46426426966341605,0.0013487784165728824,0.1530454272737227,0.6928962564517825,0.4971030931141796,5.473245390241743e-08,0.2168831902055982,0.13496928524457555,3.2702178677262994e-05,6.282596776385379,4.711904497044807
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.14999999999999997,0.14999999999999997,False,-0.5109283376187667,0.010971677541083125,0.11828953627037879,0.7928087317286518,0.5021866995707287,0.1581054343350532,3.5398451714296897e-07,5.7688358409024865e-05,1.4103170298263024e-09,4.711780387817732,3.142367705780603
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.14999999999999997,0.14999999999999997,False,-0.4569765352839953,2.2539135139045905e-09,0.03363752987555307,0.6818950232553479,0.49901713031434586,3.554819449930191e-05,0.14328579720096468,0.00022492098451046272,9.737564377479413e-05,3.1414741437538027,1.569481444050444
