ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.22500000000000003,-0.07500000000000001,True,-0.44217842664380363,4.3005749903611413e-10,0.09333109531325025,0.6402393605596298,0.4985715933228829,0.10446698654295365,0.13789356784637022,0.19058799479412025,0.05500740669237633,6.2743295410184485
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,0.22500000000000003,-0.07500000000000001,False,-0.45623888232060517,6.705642779714126e-10,0.0027742064567927867,0.6890401599847592,0.5165820433023502,2.752351070695047e-05,0.18159865302549594,0.188347154415422,0.24355034899739822,4.71234576046351
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,0.22500000000000003,-0.07500000000000001,False,-0.4594955852722303,0.00023804612992142215,0.12962106407966212,0.6819543263655926,0.4994052519382085,0.09867273207003185,3.383872275164457e-07,0.14689045438531462,0.03358898195558438,0.4980239356819216,2.1619116971871803
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.22500000000000003,-0.07500000000000001,False,-0.51422901101719,0.02206601112626844,0.1054205928698839,0.801931280449847,0.5012834992618938,0.17269498401152417,8.845670712576137e-08,2.6965023448261016e-05,2.5716939966446972e-09,4.712092069185953,3.142015249774192
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.22500000000000003,-0.07500000000000001,False,-0.45697653235448166,2.582177451199486e-09,0.033636099409145005,0.6818974932332403,0.49902322867091725,3.531995028793755e-05,0.14329585139228104,0.00015858707620447499,0.00019245213143803674,3.1416600512005424,1.5697443676949279
