ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.22500000000000003,0.07500000000000001,False,-0.44266941004848426,4.911341842691938e-10,0.09881087754128547,0.6410042697913759,0.4996413020665683,0.00038680641083899125,0.1395088046883572,0.19709610849126974,0.05276200753185503,1.5677673703977046
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,0.22500000000000003,0.07500000000000001,False,-0.4493116514484851,2.9426239436946387e-09,0.00410771985408796,0.6644750080572173,0.5103142466528272,2.245823253943513e-05,0.16606934374587246,0.1748290691777373,0.1869180595589592,4.712517893558291
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,0.22500000000000003,0.07500000000000001,True,-0.4514673146851353,1.8008452936021976e-09,0.004782125358629107,0.6714695591524583,0.5109560965775894,0.1256065075466522,0.2142757674762785,0.16678048184347855,0.2384547499966707,1.875481805042663,5.197939644014983
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.22500000000000003,0.07500000000000001,False,-0.5098750020459019,0.021425442077478943,0.10063781233371254,0.7999424234949427,0.5006649893500044,0.17731156449337826,0.18039040109924398,1.2991823383268208e-05,1.7202263224991299e-09,4.712243685016427,3.1418233184303683
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.22500000000000003,0.07500000000000001,False,-0.444030561918644,2.0693853234379217e-09,0.06916021841412506,0.6498348896997578,0.4956220491432244,4.5866180375607494e-05,0.13322625838711016,0.16156140219518952,0.0001032270654698943,3.1415925264659474,0.00031403590315589246
